common_name,0.0,2.0,3.0,4.0,5.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0
Carolina chickadee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,0,20,3,4,10,18,15,10,8,0,0,0,0,0,3
marsh wren,6,0,0,0,19,22,5,23,3,2,0,10,6,0,14,1,0,0,8,10,0,5,4,14,4,5,18,5,42,41,4,1,0,9
song sparrow,6,1,0,0,77,30,8,2,13,24,4,17,13,3,13,3,0,0,23,29,16,4,2,4,37,38,46,0,96,72,51,1,0,0
white-crowned sparrow,4,9,23,48,47,19,13,0,1,0,0,9,17,1,3,2,1,3,6,2,3,1,2,1,10,0,3,0,45,7,37,7,1,0
